Name of the game,Fit platform,Num Of comments,Num Of likes,Raiting,Grade,Num of pros,Num of cons,First Released,The game rviewer,The date of the review
Doom VFR Review,PS4,25,25,Good,7,4.0,3.0,"Nov 30, 2017","
    Justin Clark
  ","December 5, 2017 at 3:13PM PST"
Xenoblade Chronicles 2 Review,NS,536,106,Good,7,5.0,5.0,"Dec 1, 2017","
    Peter Brown
  ","November 30, 2017 at 5:00AM PST"
Rive Review,"PC, PS4, NS",24,34,Great,8,3.0,2.0,"Sep 13, 2016","
    Daniel Starkey
  ","November 27, 2017 at 8:03AM PST"
Batman: The Enemy Within - Episode 3: Fractured Mask Review,PC,17,25,Great,8,3.0,1.0,"Aug 8, 2017","
    Tamoor Hussain
  ","November 24, 2017 at 4:12AM PST"
LA Noire Switch Review,NS,98,48,Good,7,5.0,3.0,"May 17, 2011","
    Matt Espineli
  ","November 21, 2017 at 10:32PM PST"
Star Wars Battlefront II Review,"PS4, XONE, PC",1017,376,Fair,6,4.0,4.0,"Nov 14, 2017","
    Alessandro Fillari
  ","November 20, 2017 at 7:02PM PST"
Pokemon Ultra Sun And Ultra Moon Review,"3DS, 3DS",50,49,Great,8,3.0,2.0,"Nov 17, 2017","
    Kallie Plagge
  ","November 17, 2017 at 9:54AM PST"
Football Manager 2018 Review,PC,31,84,Superb,9,4.0,2.0,"Nov 9, 2017","
    Richard Wakeling
  ","November 16, 2017 at 6:15AM PST"
The Elder Scrolls V: Skyrim Switch Review,NS,275,68,Great,8,3.0,2.0,"Nov 11, 2011","
    Kallie Plagge
  ","November 16, 2017 at 3:08AM PST"
Ashes Cricket Review,PS4,24,140,Good,7,4.0,3.0,"Nov 16, 2017","
    James Swinbanks
  ","November 15, 2017 at 6:02PM PST"
Lego Marvel Super Heroes 2 Review,PS4,4,32,Good,7,4.0,1.0,"Nov 14, 2017","
    Randolph Ramsay
  ","November 15, 2017 at 5:51PM PST"
Doom Switch Review,NS,286,44,Good,7,4.0,3.0,"May 12, 2016","
    Peter Brown
  ","November 15, 2017 at 3:05PM PST"
GT Sport Review,PS4,102,79,Great,8,4.0,3.0,"Oct 17, 2017","
    James Swinbanks
  ","November 15, 2017 at 9:00AM PST"
Hand Of Fate 2 Review,PC,4,22,Great,8,4.0,2.0,"Nov 7, 2017","
    James O'Connor
  ","November 15, 2017 at 7:00AM PST"
Rocket League Switch Review,NS,43,54,Superb,9,4.0,1.0,"Jul 7, 2015","
    Peter Brown
  ","November 14, 2017 at 7:25PM PST"
Sonic Forces Review,"PS4, XONE, NS, PC",119,46,Mediocre,5,3.0,4.0,"Nov 7, 2017","
    Matt Espineli
  ","November 11, 2017 at 10:54PM PST"
Etrian Odyssey 5: Beyond The Myth Review,3DS,41,25,Great,8,3.0,2.0,"Oct 17, 2017","
    Heidi Kemps
  ","November 11, 2017 at 6:00PM PST"
Spelunker Party Review,NS,6,9,Fair,6,3.0,3.0,"Oct 19, 2017","
    Heidi Kemps
  ","November 9, 2017 at 1:00PM PST"
Steven Universe: Save the Light Review,PS4,11,18,Fair,6,4.0,3.0,"Oct 31, 2017","
    Justin Clark
  ","November 9, 2017 at 11:21AM PST"
Need For Speed Payback Review,"PS4, XONE",278,134,Mediocre,5,3.0,5.0,"Nov 7, 2017","
    Richard Wakeling
  ","November 8, 2017 at 7:54AM PST"
Oure Review,PS4,12,6,Mediocre,5,2.0,3.0,"Oct 30, 2017","
    James O'Connor
  ","November 7, 2017 at 5:00PM PST"
Horizon: Zero Dawn - The Frozen Wilds Review,PS4,161,51,Great,8,4.0,1.0,"Feb 28, 2017","
    Peter Brown
  ","November 6, 2017 at 8:00AM PST"
Call Of Duty: WWII Review,"XONE, PS4",794,330,Superb,9,6.0,2.0,"Nov 2, 2017","
    Miguel Concepcion
  ","November 4, 2017 at 12:10PM PDT"
Super Lucky's Tale Review,"XONE, PC, XONE",100,28,Fair,6,2.0,3.0,"Nov 6, 2017","
    Kallie Plagge
  ","November 3, 2017 at 4:54PM PDT"
Wolfenstein 2: The New Colossus Review,"PS4, PC, XONE",634,233,Superb,9,4.0,1.0,"Oct 27, 2017","
    Kallie Plagge
  ","November 3, 2017 at 3:26PM PDT"
Life Is Strange: Before The Storm - Episode 2 - Brave New World Review,PS4,5,7,Good,7,3.0,2.0,"Feb 1, 2022","
    Justin Clark
  ","October 31, 2017 at 5:10PM PDT"
Megaton Rainfall Review,PS4,5,25,Good,7,3.0,3.0,,"
    Justin Clark
  ","October 29, 2017 at 12:00PM PDT"
The Mummy Demastered Review,PS4,25,15,Good,7,3.0,2.0,"Oct 24, 2017","
    Jason D'Aprile
  ","October 29, 2017 at 9:00AM PDT"
Super Mario Odyssey Review,NS,701,210,Essential,10,6.0,1.0,"Oct 27, 2017","
    Peter Brown
  ","October 26, 2017 at 6:00AM PDT"
Assassin's Creed Origins Review,"PS4, XONE, PC, XONE, PC, PS4",664,241,Good,7,4.0,3.0,"Oct 27, 2017","
    Alessandro Fillari
  ","October 26, 2017 at 4:00AM PDT"
Arktika.1 Review,PC,24,16,Good,7,3.0,3.0,"Oct 10, 2017","
    Jason D'Aprile
  ","October 25, 2017 at 12:42PM PDT"
Destiny 2 Review,"PS4, XONE, PC",492,142,Great,8,4.0,1.0,"Sep 6, 2017","
    Kallie Plagge
  ","October 24, 2017 at 1:44PM PDT"
Golf Story Review,NS,37,25,Great,8,4.0,2.0,"Sep 28, 2017","
    Ginny Woo
  ","October 21, 2017 at 3:36PM PDT"
Elex Review,PS4,240,87,Poor,4,1.0,3.0,"Oct 17, 2017","
    James Swinbanks
  ","October 20, 2017 at 8:00AM PDT"
WWE 2K18 Review,"PS4, XONE, PC",110,105,Mediocre,5,4.0,4.0,"Oct 13, 2017","
    Richard Wakeling
  ","October 19, 2017 at 1:03PM PDT"
Fire Emblem Warriors Review,NS,100,41,Fair,6,2.0,4.0,"Oct 20, 2017","
    jeremy winslow
  ","October 18, 2017 at 6:00AM PDT"
South Park: The Fractured But Whole Review,"XONE, PC, PS4",121,72,Great,8,4.0,2.0,"Oct 17, 2017","
    Miguel Concepcion
  ","October 16, 2017 at 4:00AM PDT"
The Evil Within 2 Review,"PC, XONE, PS4",255,137,Great,8,4.0,1.0,"Oct 12, 2017","
    Alessandro Fillari
  ","October 12, 2017 at 7:24PM PDT"
The Flame in the Flood Review,PC,57,178,Great,8,3.0,1.0,"Feb 24, 2016","
    Edmond Tran
  ","October 12, 2017 at 3:00PM PDT"
Stardew Valley Review,PC,231,332,Superb,9,4.0,1.0,"Dec 31, 2014","
    Mary Kish
  ","October 6, 2017 at 2:19PM PDT"
A Hat In Time Review,PC,46,33,Good,7,3.0,2.0,"Oct 5, 2017","
    Kallie Plagge
  ","October 5, 2017 at 5:54PM PDT"
Gundam Versus Review,PS4,13,25,Good,7,3.0,3.0,"Sep 29, 2017","
    James Swinbanks
  ","October 5, 2017 at 12:00PM PDT"
Axiom Verge Review,"PS4, NS",175,42,Great,8,7.0,2.0,"Mar 31, 2015","
    Peter Brown
  ","October 5, 2017 at 9:02AM PDT"
FIFA 18 Nintendo Switch Review,NS,144,67,Mediocre,5,3.0,4.0,"Sep 26, 2017","
    Oscar Dayus
  ","October 4, 2017 at 3:00PM PDT"
Batman - The Enemy Within: The Enigma - Episode 1 Review,PC,0,28,Great,8,3.0,1.0,"Aug 8, 2017","
    Tamoor Hussain
  ","October 4, 2017 at 10:39AM PDT"
Batman: The Enemy Within - Episode 2: The Pact Review,PC,0,41,Great,8,3.0,2.0,"Aug 8, 2017","
    Tamoor Hussain
  ","October 4, 2017 at 10:38AM PDT"
Forza Motorsport 7 Review,"XONE, PC, XONE",400,74,Great,8,5.0,2.0,"Sep 29, 2017","
    Miguel Concepcion
  ","October 4, 2017 at 7:14AM PDT"
NBA Live 18 Review,"PS4, XONE",11,47,Good,7,3.0,3.0,"Sep 15, 2017","
    Miguel Concepcion
  ","October 3, 2017 at 6:30PM PDT"
Star Fox 2 Review,SNES,261,30,Mediocre,5,3.0,4.0,"Sep 29, 2017","
    Michael Higham
  ","September 30, 2017 at 8:00AM PDT"
Danganronpa V3: Killing Harmony Review,"PS4, VITA",12,24,Good,7,3.0,2.0,"Sep 25, 2017","
    Kallie Plagge
  ","September 28, 2017 at 5:57PM PDT"
WRC 7 Review,PS4,3,60,Good,7,2.0,2.0,"Sep 15, 2017","
    James Swinbanks
  ","September 28, 2017 at 3:00PM PDT"
Figment Review,PC,0,26,Good,7,3.0,2.0,"Sep 22, 2017","
    Leif Johnson
  ","September 28, 2017 at 12:04PM PDT"
NBA 2K18 Review,"PS4, NS, XONE",69,66,Great,8,3.0,1.0,"Sep 14, 2017","
    Seth Macy
  ","September 28, 2017 at 10:08AM PDT"
Total War: Warhammer 2 Review,PC,73,44,Superb,9,5.0,2.0,"Sep 28, 2017","
    Daniel Starkey
  ","September 27, 2017 at 2:00PM PDT"
Ruiner Review,PC,18,28,Great,8,4.0,2.0,"Sep 26, 2017","
    David Rayfield
  ","September 26, 2017 at 4:08PM PDT"
SteamWorld Dig 2 Review,"NS, PC",54,35,Superb,9,6.0,1.0,"Sep 21, 2017","
    Matt Espineli
  ","September 25, 2017 at 5:28PM PDT"
FIFA 18 Review,"XONE, PC, PS4",148,111,Good,7,3.0,2.0,"Sep 26, 2017","
    Oscar Dayus
  ","September 25, 2017 at 12:47PM PDT"
Project Cars 2 Review,PS4,249,66,Good,7,4.0,4.0,"Sep 21, 2017","
    Richard Wakeling
  ","September 25, 2017 at 3:53AM PDT"
Marvel Vs. Capcom: Infinite Review,"XONE, PS4",129,45,Great,8,4.0,2.0,"Sep 19, 2017","
    Tamoor Hussain
  ","September 24, 2017 at 2:04PM PDT"
Tooth And Tail Review,"PC, PS4",23,14,Great,8,5.0,2.0,"Sep 12, 2017","
    Daniel Starkey
  ","September 22, 2017 at 4:23PM PDT"
NHL 18 Review,PS4,5,48,Good,7,3.0,2.0,"Sep 12, 2017","
    Seth Macy
  ","September 20, 2017 at 5:07PM PDT"
Echo Review,PC,35,38,Great,8,3.0,2.0,"Sep 19, 2017","
    Justin Clark
  ","September 20, 2017 at 2:02PM PDT"
PES 2018 Review,"PC, PS4, PS3, X360, XONE",114,208,Great,8,3.0,2.0,"Sep 12, 2017","
    Oscar Dayus
  ","September 19, 2017 at 5:23PM PDT"
Dishonored: Death Of The Outsider Review,"PS4, XONE, PC, XONE, PC, PS4",96,35,Great,8,4.0,2.0,"Sep 14, 2017","
    Alessandro Fillari
  ","September 19, 2017 at 10:29AM PDT"
Don't Knock Twice Review,PS4,13,25,Mediocre,5,2.0,4.0,"Sep 5, 2017","
    Justin Clark
  ","September 17, 2017 at 11:14AM PDT"
Ys VIII: Lacrimosa Of Dana Review,PS4,92,62,Great,8,4.0,3.0,"Sep 12, 2017","
    Heidi Kemps
  ","September 14, 2017 at 2:36PM PDT"
ARK: Survival Evolved Review,PC,115,95,Fair,6,3.0,3.0,"Jun 2, 2015","
    Brett Todd
  ","September 13, 2017 at 3:30PM PDT"
Metroid: Samus Returns Review,3DS,122,69,Superb,9,5.0,1.0,"Sep 15, 2017","
    Peter Brown
  ","September 12, 2017 at 5:00AM PDT"
Knack 2 Review,PS4,71,28,Good,7,3.0,3.0,"Sep 5, 2017","
    Jason D'Aprile
  ","September 5, 2017 at 5:00PM PDT"
Everybody's Golf Review,PS4,39,75,Great,8,4.0,1.0,"Aug 29, 2017","
    Miguel Concepcion
  ","September 5, 2017 at 3:00PM PDT"
XCOM 2: War Of The Chosen Review,PC,122,67,Superb,9,5.0,1.0,"Feb 4, 2016","
    Daniel Starkey
  ","September 2, 2017 at 10:14AM PDT"
Life Is Strange: Before The Storm - Episode 1 - Awake Review,PC,196,59,Great,8,3.0,1.0,"Feb 1, 2022","
    Justin Clark
  ","September 1, 2017 at 10:00AM PDT"
Warriors All-Stars Review,PS4,24,18,Good,7,2.0,2.0,"Aug 29, 2017","
    Sean Bell
  ","August 29, 2017 at 6:00AM PDT"
Last Day Of June Review,PS4,6,15,Fair,6,3.0,3.0,August 2017,"
    Alex Newhouse
  ","August 29, 2017 at 6:00AM PDT"
Absolver Review,PC,66,91,Great,8,4.0,2.0,"Aug 29, 2017","
    Richard Wakeling
  ","August 29, 2017 at 6:00AM PDT"
Mario + Rabbids: Kingdom Battle Review,NS,291,122,Superb,9,4.0,1.0,"Aug 29, 2017","
    Edmond Tran
  ","August 28, 2017 at 9:44AM PDT"
F1 2017 Review,"PS4, PC",85,77,Superb,9,5.0,1.0,"Aug 24, 2017","
    James Swinbanks
  ","August 27, 2017 at 9:02AM PDT"
Distrust Review,PC,11,19,Good,7,3.0,2.0,"Aug 23, 2017","
    Leif Johnson
  ","August 26, 2017 at 9:17AM PDT"
Madden NFL 18 Review,"XONE, PS4",186,78,Superb,9,5.0,2.0,"Aug 22, 2017","
    Alex Newhouse
  ","August 24, 2017 at 12:14PM PDT"
Guardians Of The Galaxy - Episode 3: More Than A Feeling Review,PC,8,7,Fair,6,2.0,2.0,"Apr 18, 2017","
    Kallie Plagge
  ","August 23, 2017 at 9:00AM PDT"
Yonder: The Cloud Catcher Chronicles Review,PS4,2,31,Fair,6,3.0,3.0,"Jul 17, 2017","
    James O'Connor
  ","August 22, 2017 at 9:33PM PDT"
The Pillars Of The Earth Review,XONE,21,48,Good,7,2.0,2.0,"Aug 15, 2017","
    Blake Hester
  ","August 17, 2017 at 5:10PM PDT"
Thumper Review,"PC, PS4, NS, XONE",58,81,Superb,9,4.0,1.0,"Oct 10, 2016","
    Peter Brown
  ","August 17, 2017 at 10:14AM PDT"
Uncharted: The Lost Legacy Review,"PS4, PS4",534,206,Superb,9,4.0,1.0,"Aug 22, 2017","
    Miguel Concepcion
  ","August 17, 2017 at 8:13AM PDT"
Observer Review,PC,71,156,Superb,9,5.0,1.0,"Aug 15, 2017","
    David Rayfield
  ","August 17, 2017 at 8:08AM PDT"
The Long Dark Review,PC,46,53,Fair,6,2.0,3.0,"Sep 22, 2014","
    James Swinbanks
  ","August 16, 2017 at 4:59PM PDT"
Agents Of Mayhem Review,PS4,270,62,Poor,4,2.0,4.0,"Aug 15, 2017","
    Brett Todd
  ","August 15, 2017 at 1:05AM PDT"
Matterfall Review,PS4,19,10,Fair,6,3.0,4.0,"Aug 15, 2017","
    jeremy winslow
  ","August 14, 2017 at 9:01PM PDT"
Lawbreakers PC Review,PC,29,28,Great,8,4.0,3.0,"Aug 8, 2017","
    Miguel Concepcion
  ","August 12, 2017 at 1:00PM PDT"
Lawbreakers PS4 Review,PS4,28,12,Good,7,4.0,4.0,"Aug 8, 2017","
    Miguel Concepcion
  ","August 12, 2017 at 1:00PM PDT"
Gigantic Review,PC,31,41,Great,8,4.0,2.0,"Jul 20, 2017","
    Brett Todd
  ","August 12, 2017 at 8:20AM PDT"
Mega Man Legacy Collection 2 Review,"PC, PS4",33,17,Fair,6,3.0,3.0,"Aug 8, 2017","
    Justin Clark
  ","August 10, 2017 at 9:00AM PDT"
Rez Infinite Review,PS4,63,51,Superb,9,4.0,1.0,"Jan 7, 2002","
    Alexa Ray Corriea
  ","August 9, 2017 at 8:17AM PDT"
Redeemer Review,PC,9,17,Fair,6,3.0,4.0,,"
    Justin Clark
  ","August 7, 2017 at 10:00AM PDT"
Tacoma Review,"PC, XONE",81,37,Good,7,3.0,1.0,"Aug 1, 2017","
    Kallie Plagge
  ","August 1, 2017 at 1:39PM PDT"
Miitopia Review,3DS,9,48,Mediocre,5,2.0,3.0,"Jul 28, 2017","
    Heidi Kemps
  ","July 29, 2017 at 11:00AM PDT"
For Honor Review,PC,306,219,Great,8,4.0,3.0,"Feb 13, 2017","
    Matt Espineli
  ","July 28, 2017 at 10:57AM PDT"
Sundered Review,PC,12,24,Great,8,3.0,2.0,"Jul 28, 2017","
    Matt Espineli
  ","July 27, 2017 at 3:04PM PDT"
Hey Pikmin Review,3DS,10,15,Fair,6,3.0,3.0,"Jul 28, 2017","
    Jason D'Aprile
  ","July 26, 2017 at 9:16AM PDT"
Pyre Review,"PS4, PC",63,42,Superb,9,5.0,1.0,"Jul 25, 2017","
    Peter Brown
  ","July 24, 2017 at 9:17AM PDT"
Splatoon 2 Review,NS,136,65,Great,8,4.0,3.0,"Jul 21, 2017","
    Kallie Plagge
  ","July 18, 2017 at 12:18PM PDT"
Diablo 3: Rise Of The Necromancer Review,PC,104,81,Good,7,2.0,2.0,"May 15, 2012","
    Brett Todd
  ","July 11, 2017 at 5:00PM PDT"
Final Fantasy 14: Stormblood Review,PC,66,33,Great,8,4.0,3.0,"Aug 27, 2013","
    Ginny Woo
  ","July 10, 2017 at 10:09PM PDT"
Final Fantasy 12: The Zodiac Age Review,PS4,261,75,Superb,9,4.0,2.0,"Oct 31, 2006","
    Miguel Concepcion
  ","July 10, 2017 at 5:00AM PDT"
Rakuen Review,PC,2,10,Good,7,3.0,3.0,"May 10, 2017","
    Janine Hawkins
  ","July 10, 2017 at 7:00AM PDT"
The Mage's Tale Review,PC,16,19,Poor,4,2.0,4.0,"Jun 20, 2017","
    Daniel Starkey
  ","July 7, 2017 at 10:07AM PDT"
Get Even Review,PS4,26,51,Good,7,4.0,2.0,"Jun 20, 2017","
    Eddie Makuch
  ","July 5, 2017 at 1:26PM PDT"
Ever Oasis Review,3DS,22,33,Good,7,3.0,3.0,"Jun 23, 2017","
    Matt Espineli
  ","June 30, 2017 at 5:08PM PDT"
Valkyria Revolution Review,PS4,52,25,Fair,6,3.0,3.0,"Jun 27, 2017","
    Heidi Kemps
  ","June 27, 2017 at 11:00AM PDT"
Cities: Skylines - Mass Transit Review,PC,6,41,Great,8,3.0,2.0,,"
    Brett Todd
  ","June 22, 2017 at 10:00AM PDT"
Star Trek: Bridge Crew Review,PS4,77,23,Fair,6,4.0,2.0,"May 30, 2017","
    Justin Clark
  ","June 22, 2017 at 8:53AM PDT"
Nex Machina Review,PS4,85,36,Superb,9,3.0,1.0,"Jun 20, 2017","
    Jason D'Aprile
  ","June 21, 2017 at 7:00AM PDT"
Impact Winter Review,PC,4,10,Fair,6,2.0,1.0,"May 22, 2017","
    Edmond Tran
  ","June 10, 2017 at 9:00AM PDT"
Reservoir Dogs: Bloody Days Review,PC,4,5,Poor,4,2.0,4.0,"May 18, 2017","
    jeremy winslow
  ","June 9, 2017 at 9:00AM PDT"
The Fidelio Incident Review,PC,5,13,Fair,6,3.0,2.0,,"
    Justin Clark
  ","June 8, 2017 at 5:00PM PDT"
Guardians Of The Galaxy - Episode 2: Under Pressure Review,PC,4,11,Good,7,2.0,2.0,"Apr 18, 2017","
    Kallie Plagge
  ","June 8, 2017 at 1:26PM PDT"
The Walking Dead: A New Frontier - Episode Five: Under the Gallows Review,PC,10,26,Fair,6,2.0,3.0,,"
    Brett Todd
  ","June 8, 2017 at 8:25AM PDT"
The Town Of Light Review,XONE,9,42,Poor,4,2.0,3.0,,"
    Blake Hester
  ","June 7, 2017 at 5:00PM PDT"
Steel Division: Normandy '44 Review,PC,10,38,Great,8,4.0,1.0,"May 23, 2017","
    Daniel Starkey
  ","June 7, 2017 at 10:00AM PDT"
Arms Review,NS,154,40,Good,7,3.0,2.0,"Jun 16, 2017","
    Kallie Plagge
  ","June 7, 2017 at 7:00AM PDT"
Wipeout Omega Collection Review,PS4,135,83,Superb,9,4.0,2.0,"Jun 6, 2017","
    Miguel Concepcion
  ","June 6, 2017 at 12:01PM PDT"
Dirt 4 Review,PS4,65,138,Superb,9,4.0,1.0,"Jun 6, 2017","
    Richard Wakeling
  ","June 6, 2017 at 7:40AM PDT"
Tekken 7 Review,"XONE, PC, PS4",155,142,Great,8,4.0,2.0,"Jun 1, 2017","
    Peter Brown
  ","June 5, 2017 at 8:06PM PDT"
Friday The 13th: The Game Review,"PC, PS4, XONE",251,150,Poor,4,2.0,5.0,"May 25, 2017","
    Peter Brown
  ","June 2, 2017 at 5:03PM PDT"
Tokyo 42 Review,"PC, XONE",15,11,Good,7,3.0,3.0,"May 31, 2017","
    David Rayfield
  ","June 1, 2017 at 6:34PM PDT"
The Elder Scrolls III: Morrowind Review,XBOX,10,2,Great,8,2.0,1.0,"May 1, 2002","
    Greg Kasavin
  ","June 1, 2017 at 2:54PM PDT"
Perception Review,PC,13,6,Mediocre,5,2.0,4.0,"May 30, 2017","
    Miguel Concepcion
  ","May 31, 2017 at 4:42PM PDT"
Danger Zone Review,"PC, PS4",8,14,Fair,6,2.0,3.0,,"
    Justin Clark
  ","May 31, 2017 at 5:00PM PDT"
Rime Review,PS4,148,35,Fair,6,3.0,3.0,"Dec 31, 2015","
    Oscar Dayus
  ","May 25, 2017 at 8:00AM PDT"
Endless Space 2 Review,PC,40,58,Great,8,4.0,2.0,"Oct 6, 2016","
    Brett Todd
  ","May 22, 2017 at 2:11PM PDT"
Call Of Duty: Black Ops 3 Zombies Chronicles Review,PS4,38,92,Great,8,3.0,1.0,"Nov 5, 2015","
    Kallie Plagge
  ","May 22, 2017 at 4:06AM PDT"
Birthdays The Beginning Review,PS4,11,12,Mediocre,5,2.0,3.0,"May 9, 2017","
    Heidi Kemps
  ","May 19, 2017 at 3:02PM PDT"
Mages of Mystralia Review,PC,12,15,Fair,6,3.0,3.0,"May 18, 2017","
    Alessandro Fillari
  ","May 18, 2017 at 5:00AM PDT"
Farpoint Review,PS4,55,60,Good,7,3.0,2.0,"May 16, 2017","
    Justin Clark
  ","May 18, 2017 at 8:00AM PDT"
The Surge Review,PC,56,49,Good,7,3.0,2.0,"May 15, 2017","
    Daniel Starkey
  ","May 17, 2017 at 11:00AM PDT"
Prey Review,PS4,621,145,Fair,6,3.0,5.0,"May 4, 2017","
    Tamoor Hussain
  ","May 16, 2017 at 8:24AM PDT"
Fire Emblem Echoes: Shadows of Valentia Review,3DS,68,67,Superb,9,4.0,1.0,"May 19, 2017","
    Heidi Kemps
  ","May 16, 2017 at 8:00AM PDT"
Injustice 2 Review,"XONE, PS4",297,141,Superb,9,5.0,1.0,"May 9, 2017","
    Peter Brown
  ","May 16, 2017 at 7:17AM PDT"
NBA Playgrounds Review,XONE,52,32,Fair,6,3.0,3.0,"May 9, 2017","
    Blake Hester
  ","May 11, 2017 at 4:41PM PDT"
Strafe Review,PC,45,33,Great,8,5.0,3.0,"May 9, 2017","
    Michael Higham
  ","May 9, 2017 at 1:42PM PDT"
Expeditions: Viking Review,PC,14,34,Fair,6,3.0,3.0,"Apr 27, 2017","
    Daniel Starkey
  ","May 8, 2017 at 9:00AM PDT"
Super Rude Bear Resurrection Review,"PC, PS4",50,17,Superb,9,4.0,2.0,"May 2, 2017","
    Chris Pereira
  ","May 6, 2017 at 9:00AM PDT"
Pinstripe Review,PC,6,23,Mediocre,5,2.0,4.0,"Apr 24, 2017","
    jeremy winslow
  ","May 5, 2017 at 11:15AM PDT"
Tumbleseed Review,NS,38,10,Fair,6,3.0,2.0,"May 2, 2017","
    Kallie Plagge
  ","May 2, 2017 at 6:13PM PDT"
Little Nightmares Review,PC,29,73,Great,8,3.0,2.0,"Apr 27, 2017","
    Matt Espineli
  ","April 28, 2017 at 11:12AM PDT"
Syberia 3 Review,PC,51,100,Poor,4,2.0,5.0,"Sep 5, 2012","
    Michael Higham
  ","April 28, 2017 at 8:40AM PDT"
The Walking Dead: A New Frontier - Episode Four: Thicker Than Water Review,PC,4,17,Good,7,4.0,2.0,,"
    Brett Todd
  ","April 27, 2017 at 4:00PM PDT"
The Sexy Brutale Review,PS4,15,20,Great,8,3.0,2.0,"Apr 11, 2017","
    Leif Johnson
  ","April 26, 2017 at 2:00PM PDT"
Cosmic Star Heroine Review,PS4,47,29,Fair,6,3.0,3.0,"Dec 31, 2015","
    Janine Hawkins
  ","April 25, 2017 at 2:00PM PDT"
What Remains of Edith Finch Review,PS4,194,104,Superb,9,3.0,1.0,"Apr 24, 2017","
    Justin Clark
  ","April 25, 2017 at 9:55AM PDT"
Dragon Quest Heroes II Review,"PS4, PC",25,42,Great,8,4.0,2.0,"Apr 25, 2017","
    Miguel Concepcion
  ","April 24, 2017 at 9:00PM PDT"
Sniper Ghost Warrior 3 Review,81,81,60,Mediocre,5,,,,,
Puyo Puyo Tetris Review,NS,17,27,Great,8,3.0,1.0,,"
    Jason D'Aprile
  ","April 24, 2017 at 5:00PM PDT"
Outlast 2 Review,PC,135,89,Good,7,4.0,2.0,"Apr 24, 2017","
    Scott Butterworth
  ","April 24, 2017 at 12:00PM PDT"
The Disney Afternoon Collection Review,PS4,58,23,Good,7,3.0,2.0,"Apr 18, 2017","
    Jason D'Aprile
  ","April 22, 2017 at 10:00AM PDT"
Mario Kart 8 Deluxe Review,NS,300,83,Superb,9,3.0,1.0,"May 30, 2014","
    Kallie Plagge
  ","April 20, 2017 at 6:34AM PDT"
"Warhammer 40,000: Dawn Of War III Review",PC,113,55,Great,8,4.0,3.0,"Apr 27, 2017","
    Daniel Starkey
  ","April 20, 2017 at 7:00AM PDT"
Wonder Boy: The Dragon's Trap Review,PS4,31,41,Great,8,3.0,2.0,"Apr 18, 2017","
    Heidi Kemps
  ","April 19, 2017 at 3:00PM PDT"
Guardians Of The Galaxy - Episode 1: Tangled Up In Blue Review,PS4,38,14,Good,7,3.0,2.0,"Apr 18, 2017","
    Kallie Plagge
  ","April 17, 2017 at 8:59PM PDT"
Mr. Shifty Review,"PC, NS",46,38,Great,8,4.0,2.0,"Apr 13, 2017","
    James O'Connor
  ","April 17, 2017 at 3:00PM PDT"
Toukiden 2 Review,PS4,14,31,Good,7,3.0,2.0,"Mar 21, 2017","
    Heidi Kemps
  ","April 15, 2017 at 4:00PM PDT"
Drawn To Death Review,PS4,84,18,Poor,4,2.0,4.0,"Dec 31, 2015","
    Justin Clark
  ","April 13, 2017 at 2:04PM PDT"
Hacknet - Labyrinths Review,PC,7,36,Great,8,5.0,1.0,"Aug 12, 2015","
    James Swinbanks
  ","April 8, 2017 at 6:00AM PDT"
Momodora: Reverie Under The Moonlight Review,PS4,10,13,Fair,6,3.0,3.0,"Mar 4, 2016","
    Peter Brown
  ","April 7, 2017 at 1:37PM PDT"
Bulletstorm: Full Clip Edition Review,PS4,114,48,Great,8,4.0,2.0,"Feb 21, 2011","
    Scott Butterworth
  ","April 6, 2017 at 9:34AM PDT"
Has-Been Heroes Review,NS,17,21,Mediocre,5,3.0,4.0,"Mar 27, 2017","
    James O'Connor
  ","April 4, 2017 at 7:00PM PDT"
Parappa The Rapper Remastered Review,PS4,75,30,Fair,6,3.0,3.0,"Oct 31, 1997","
    Justin Clark
  ","April 3, 2017 at 9:00PM PDT"
Yooka-Laylee Review,XONE,269,58,Fair,6,2.0,3.0,"Apr 5, 2017","
    Kallie Plagge
  ","April 4, 2017 at 8:00AM PDT"
Rain World Review,"PC, PS4",33,11,Mediocre,5,2.0,4.0,"Mar 28, 2017","
    Miguel Concepcion
  ","March 31, 2017 at 7:00PM PDT"
The Walking Dead: The Telltale Series - A New Frontier Ep. 3: Above The Law Review,PC,25,16,Fair,6,2.0,3.0,"Dec 20, 2016","
    Brett Todd
  ","March 31, 2017 at 4:31PM PDT"
Snake Pass Review,"PC, NS, PS4, XONE",35,45,Good,7,3.0,2.0,"Mar 28, 2017","
    Oscar Dayus
  ","March 31, 2017 at 2:59PM PDT"
Thimbleweed Park Review,PC,13,30,Good,7,3.0,2.0,"Mar 30, 2017","
    Matt Espineli
  ","March 30, 2017 at 10:41PM PDT"
Flatout 4: Total Insanity Review,PS4,20,15,Mediocre,5,2.0,4.0,"Apr 4, 2017","
    James Swinbanks
  ","March 30, 2017 at 7:30PM PDT"
Dark Souls 3: The Ringed City Review,PC,111,40,Great,8,4.0,1.0,"Apr 12, 2016","
    Daniel Starkey
  ","March 30, 2017 at 3:09PM PDT"
